Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,1,1,1,0,0,0,0,1,0,1,0,0
USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.',1,1,1,0,0,0,0,1,0,1,0,0
Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',1,1,0,1,0,0,0,1,0,0,1,0
"USER Awaasss... Jgn sampe beritanya sampe ke akhi gerung! Ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. ""politik kotor skl jmn ini!"". Klu tahu brt ini.. Plng Sambil ky nhn ngeden..""dungu!"". \xf0\x9f\x98\x8b",1,1,1,0,0,0,1,0,0,1,0,0
"USER udah biasa kali. Gue kpoper tapi kalo ngomonv sama temen2 gue, idol gua banci homo'",1,1,1,0,0,0,0,1,0,1,0,0
"RT USER: Bajingan Homo!!!\nHati2 terhadap anak2 kita terutama di kamar mandi laki2, jgn biarkan sendiri! URL",1,1,1,0,0,0,0,1,0,1,0,0
Kamu transgender atau gmn anjing :( URL,1,1,1,0,0,0,0,1,0,1,0,0
USER Anak pecun... ga jauh2 dr hobi zina.. haha',1,1,1,0,0,0,0,1,0,1,0,0
USER USER loh bukan nya mentri suharto ada yg homo?',1,1,1,0,0,0,0,1,0,1,0,0
"USER Ngomong opo itu.mulut kok seperti banci...beli kaca dulu lihat dirimu,. Broo'",1,1,1,0,0,0,0,1,0,1,0,0
USER Tunggu komando IMAM BEJAT CABUL USER . TAIK BEER \xf0\x9f\x8d\xba\n\nApe2 bawa ULAMA...\nDASAR Banj SEMPAK',1,1,1,0,0,0,0,1,0,1,0,0
"dih! Ngaku lebih pinter dr orang politik, NGACA DULU WOYY tampang loe aja k\xc3\xa6k orang BEGO!!! USER ckakakakak'",1,1,1,0,0,0,1,0,0,1,0,0
RT USER USER Jangan kayak BANCI KALENG kamu GATOT sering buat Gaduh gentleman lah MUNDUR siap bersaing di pemilihan presidens 2019 melawan Jokowi,1,1,1,0,0,0,0,1,0,1,0,0
"Grombolan Kadal Jidat gosong,mmg bgtu, sukanya ribut tapi klo grombolanya yg salah pura2 Budek..Dasar Grombolan Cingkrang URL",1,1,0,1,0,0,1,0,0,0,1,0
"Signal kntl !! Pemeliharaan apalagi ini ? Niat gak sih ? Login twitter doank susah amat, gmn mau open redtube ? Cetan !! USER'",1,1,0,1,0,0,0,1,0,0,1,0
RT USER: USER USER Lo rabun apa budek?\nGue nulis gak ngomong!!\n\xf0\x9f\x98\x81\xf0\x9f\x98\x80',1,1,1,0,0,0,1,0,0,1,0,0
Kamu kok kaya jablay GTA maunya dijemput pake mobil',1,1,1,0,0,0,0,1,0,1,0,0
USER Ih banci selotipan \xf0\x9f\x98\x82',1,1,1,0,0,0,0,1,0,1,0,0
"Nantang buka Dadalah, eh nyebut Setanlah emang sudah pada habis Kamus ngelawan ""Kenegarawanan Pak Joko Widodo Presiden RI ke 7, pada makin Stresssssss nie hati2 kena Stoke atau Serangan Jantung nanti Rakyat Indonesia kehilangan Badut2 Politik"" MERDEKA.",1,1,0,1,0,0,1,0,0,0,1,0
Ahok memang verbalnya keras. Pelampiasan dan pelarian karena kelelakiannya lunak.,1,0,1,0,0,0,0,1,0,1,0,0
USER Kapan tuh si BEJAT CABUL USER balik ? Pengecut si Onta itu ye...',1,1,1,0,0,0,0,1,0,1,0,0
"USER USER USER USER USER Yaaelah chat aja loe urusin,, noh yg dah keliatan mesum anggotaDPR pd mingkem,, yg nyata selingkuh 7th kalian pura2 budek,,, #bong200 gk nyampe otaknya...'",1,1,0,1,0,0,1,1,0,0,1,0
"USER Lansung tag partainya...\nGa berani ya, berarti kau BANCI....'",1,1,1,0,0,0,0,1,0,1,0,0
"perempuan kaya lo mending mati aja deh, jelek aja, gausa sok jadi make up artist!",1,1,1,0,0,0,1,0,0,1,0,0
USER Banci kampungan HEEEE!!!',1,1,1,0,0,0,0,1,0,1,0,0
Perjaka kq di jual... \nSok sok an mau booking.. Tante idiot njir..',1,1,1,0,0,0,1,1,0,1,0,0
"USER USER Matamu picek, cukk..\nOra delok prestasli pak jokowi..\n\nGuoblokkk..!!\nTolol....!!'",1,1,1,0,0,0,1,0,0,1,0,0
"USER USER mata loee picek ya, yg janji jokowi kok yg d tagih sby.. matamu picek blok \xf0\x9f\x98\x85\xf0\x9f\x98\x85'",1,1,1,0,0,0,1,0,0,1,0,0
USER as clara\n- anak pinter\n- dongo\n- paling koplak\n- cantik tapi idot :(\n- gatau malu \n- urat malu putus\n- butt dia muka nya imut bgt',1,1,1,0,0,0,1,0,0,1,0,0
USER USER USER USER Itu dia mata picek... Matanya cuma lihat sebelah...',1,1,1,0,0,0,1,0,0,1,0,0
"USER Kntl ye, apus ga'",1,1,1,0,0,0,0,1,0,1,0,0
"USER Lo tuh yg bencong, bacot lo lebih2 dari cewe. Kaya banci yg ngamen gak dikasih duit bacotnya \xf0\x9f\x98\x92\xf0\x9f\x98\x92\xf0\x9f\x98\x92\nMending lo cakep mah, jelek Kaya gitu.\nMadesu lagi \xf0\x9f\x98\x84\xf0\x9f\x98\x84\nMentioned Gw langsung di quote tweet \xf0",1,1,1,0,0,0,1,1,0,1,0,0
USER USER Yang perek kan ibu lo.. gimana sih.. pasti sdh dool ya',1,1,1,0,0,0,0,1,0,1,0,0
RT USER: USER Klo busuk mawati beragama islam .. Maka dia Takut dg dirinya sendiri\nGejala gila nich nenek ..',1,1,1,0,0,0,1,0,0,1,0,0
USER berarti lo cacat',1,1,1,0,0,0,1,0,0,1,0,0
USER WOI BOLOT',1,1,1,0,0,0,1,0,0,1,0,0
"USER Eh dungu, ngapain lu masih mensen2 gue, katanya mau muter alun gue.\nLu itu cuma bisa forward berita tanpa analisa.\nKelompok MAHO mana ada yg cerdas wk wk wk'",1,1,0,1,0,0,0,1,0,0,1,0
"Jgn ada yg percaya dgn akun ini\n\n\xe2\x9e\xa1 USER \n\xe2\x9e\xa1 WA 081381413774\n\nAwal nya dia ga percaya sy buat\nCAMSEX, trus sy buktikan Vc beberapa detik, pas suruh Tf alesan nya neko2\n\n\xe2\xac\x87Ni muka nya kaya monyet \xe2\xac\x87 URL",1,1,1,0,0,0,1,0,0,1,0,0
USER USER KAMU LAH HOMO YG PALING SIAL BAJINGAN GOBLOK...KALAU TERLALU GIAN KAMU AMPUT ANJING DITEPI JALAN TU.....SEMOGA KAMU TERIMA BALASAN NYA NANTI...',1,1,1,0,0,0,0,1,0,1,0,0
USER Alah kntl',1,1,1,0,0,0,0,1,0,1,0,0
Nih ya gue jelasin. \n\nCowo. Burungnya gaada. Jadi cewe. Cewenya bernada2. \n\nSIAPA LAGI TRANSGENDER DI INDONESIA YG NYANYI? URL,1,0,1,0,0,0,0,1,0,1,0,0
"USER Yah jawabannya goblok mas\n\nJaka Sembung kan bawa sepeda mau sekolah, masa bawa golok,gila nih orang tua nya'",1,1,1,0,0,0,1,0,0,1,0,0
"USER Heran juga saya, setan iblis pada kabur dan takut kalo mendengar Azhan, tapi ini mahluk Allah yg satu ini anteng saja denger azhan bahkan pura2 budek kupingnya, kalah dong setan iblis.'",1,1,1,0,0,0,1,0,0,1,0,0
Pecun.kelas teri nih\xf0\x9f\x98\x80 URL,1,1,1,0,0,0,0,1,0,1,0,0
"USER USER yo jual seh koh, matamu ii picek ta ga isa liak tas njlentrek sak taek ndayak ndek tokoku.\ntas kulit lumpia sek kosong, ga pengen tas kulit kadal koh? cocok sama ilatmu.'",1,1,1,0,0,0,1,0,0,1,0,0
"emang udah pada sarap, gapunya rasa peduli sama sekali bgstttttttt'",1,1,1,0,0,0,1,0,0,1,0,0
USER fiks dia sinting',1,1,1,0,0,0,1,0,0,1,0,0
"USER Tabayyun sebelum ngomyang..cocot busuk lol dipelihara, memaikan isu SARA kok bangga'",1,1,1,0,0,0,1,0,0,1,0,0
"USER USER Tak baca brita nya..sy kira ni aki"" mngkin dah punya gangguan jiwa.seandai nya nnti 2019 amin kalah.bisa"" nanti malaikat di bilang kafir dan pro aseng.kasian malaikat,gk ngerti urusan capres tp di bawa"" ma aki"" gila.'",1,1,1,0,0,0,1,0,0,1,0,0
"USER Masih lebih terhormat pelacur dari pade lo iblis betina kerjanya hanya nyebarin HOAX, nista amat sih hidup lo'",1,1,1,0,0,0,0,1,0,1,0,0
"USER Cebong udah girang, pdhl di kibulin, najis lo bong mata lo pd picek..'",1,1,0,1,0,0,1,0,0,0,1,0
USER USER jyjyk kau maho',1,1,1,0,0,0,0,1,0,1,0,0
USER karena kamu kayak kntl',1,1,1,0,0,0,0,1,0,1,0,0
USER Mereka sinting ...dan mulai merusak',1,1,1,0,0,0,1,0,0,1,0,0
"USER USER USER USER USER USER USER Kno gw bilang bencong tu hti? Karna ikut makan duit pemerintahan yg sah skrg, tapi mau mengganti dasar Pancasila Negara dgn khilafah, apa gak bencong itu namanya?",1,1,0,1,0,0,0,1,0,0,1,0
USER Cewek lo maho.',1,1,1,0,0,0,0,1,0,1,0,0
USER USER buta ya om',1,1,1,0,0,0,1,0,0,1,0,0
"RT USER: USER USER USER kalo KH Ma'ruf ngomong pada belaga budek , pada belaga pilon, masih nyundul \xf0\x9f\x91\x89#gantipreside\xe2\x80\xa6""",1,1,0,1,0,0,1,0,0,0,1,0
USER USER Ganti Presiden Endasmu atos....jangan ngumbar cocot he...goblog....',1,1,1,0,0,0,1,0,0,1,0,0
RT USER presiden buta tuli makanya memimpin dg tubruk-tabrak dan budek denger rakyat teriak lengserkan jokowi,1,1,1,0,0,0,1,0,0,1,0,0
Najis bgt erel bencong',1,1,1,0,0,0,0,1,0,1,0,0
"USER Jangan mau sama eto, homo dia'",1,1,1,0,0,0,0,1,0,1,0,0
"USER USER USER USER USER USER Jgn besar-besar kan si idiot itu, nanti dia jumawa, toh dia menang kemaren itu kita sama-sama tahu #2019GantiPresiden'",1,1,1,0,0,0,1,0,0,1,0,0
"USER Yg makar omonganmu zon suka adu domba dan bawa nama islam ,agama pegangan hidup seseorang jgn sok suci kamu zon lambemu ndoweh banyak bacot'",1,1,1,0,0,0,1,0,0,1,0,0
USER Wisma darulaman. Kerja\xc2\xb2 banci. Lebih politik la\xf0\x9f\x98\x82',1,1,0,1,0,0,0,1,0,0,1,0
USER Lu maho',1,1,1,0,0,0,0,1,0,1,0,0
USER USER Hmmm saya mencium aroma aroma jablay\n\nPantes ae bangsat yoj pergi lu',1,1,1,0,0,0,0,1,0,1,0,0
USER USER USER dimas maho doyan pentil mimi peri',1,1,1,0,0,0,0,1,0,1,0,0
USER USER Aku bukan minat pun mail. Tapi looking at whole..Ya dia memang dulunya cheater. Tapi dia da mengaku silap dia and minta maaf. Yg sampah sarap adalah kau . Sshhh',1,1,1,0,0,0,1,0,0,1,0,0
"perempuan kaya lo mending mati aja deh, jelek aja, gausa sok jadi make up artist!",1,1,1,0,0,0,1,1,0,1,0,0
ngakakkk bgt yg gak kepick ya derita\n\nIce mochi gua\n\nlo gak pantes taken\n\nlo cacad di,1,1,1,0,0,0,1,0,0,1,0,0
"USER \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 bencong idiot it kl yg ga berani pk akun asli buat sebar hoax dan fitnah, nah skrng cb liat aja akun lu cong \xf0\x9f\x98\x82\xf0\x9f\x98\x82'",1,1,1,0,0,0,1,1,0,1,0,0
"USER USER USER USER Nih terakhir aku tanya lagi: Itu utang era Jokowi semua, bencong? Pasti mingkem lagi... si gembel warnet.... banci kaleng... \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3'",1,1,1,0,0,0,0,1,0,1,0,0
USER USER Jomblo jablay kayak perek :)',1,1,1,0,0,0,0,1,0,1,0,0
USER USER USER Hanya kaum bani cabul yg bisa di bohongi.\n\nBahkan utk makan pun dia berbohong katakan mau pulang agar ada donatur. \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\nRasakaah Azab Allah. \xf0\x9f\xa4\xa3\xf0\x9f,1,1,0,1,0,0,0,1,0,0,1,0
Wasit picek ini !',1,1,1,0,0,0,1,0,0,1,0,0
USER Wong edan :(',1,1,1,0,0,0,1,0,0,1,0,0
Kurang berusaha kaya gimna coba gw.... Ada yg ky gw ngorbanin wktu buat pergi lebih pagi pulang lebih malem....sinting loe \xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0',1,1,1,0,0,0,1,0,0,1,0,0
USER USER zonkey hanyalah seekor banci planga plongo...',1,1,1,0,0,0,0,1,0,1,0,0
Ngaca luh bolot URL,1,1,1,0,0,0,1,0,0,1,0,0
